球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
约翰逊,青岛,131.90210648053608,118.56311284408422,13.33899363645186,27.956015812499935,1148,862,1,137,268,81,101,27,57,45,36,237,662,56537656004076,234,373,0,4,194,279,28
焦海龙,青岛,123.70398240792473,120.28499276940582,3.4189896385189087,15.824631448258783,476,442,7,30,48,10,61,13,16,10,2,22,181,56537656004076,58,95,17,44,14,15,19
刘传兴,青岛,121.45240162898065,119.85561957408046,1.5967820549001885,19.090258051467252,588,302,17,50,74,6,52,5,19,17,6,43,137,56537656004076,51,90,0,0,35,55,25
许家晗,青岛,117.56422767534514,117.18954504992772,0.3746826254174209,10.341477789045316,84,112,2,1,9,11,20,7,3,1,0,7,30,56537656004076,12,16,1,6,3,4,10
王庆明,青岛,121.27793334486022,121.4828531576604,-0.2049198128001848,13.226177230258754,896,746,21,15,63,33,85,20,17,5,1,47,254,56537656004076,37,74,51,122,27,34,28
亚当斯,青岛,115.0507366413233,116.28732663837488,-1.2365899970515812,39.55467875604498,112,998,27,24,202,166,63,75,108,5,1,218,974,56537656004076,206,364,117,334,211,241,28
赵戌宏,青岛,107.23735747463763,118.18461427255403,-10.947256797916395,10.370539042024996,560,100,8,8,18,4,16,3,4,6,2,7,21,56537656004076,8,16,0,0,5,9,13
赵泰隆,青岛,111.75197528616813,122.87316404587722,-11.121188759709085,12.54143122880176,224,738,26,17,37,15,63,13,10,1,0,25,209,56537656004076,26,67,43,121,28,36,28
张骋宇,青岛,108.53863649765259,121.49786023136951,-12.959223733716925,19.89664046606677,168,581,0,15,37,21,21,17,13,3,0,23,259,56537656004076,73,158,29,82,26,32,25
赵大鹏,青岛,99.99962701914555,118.61793934752959,-18.618312328384036,12.731047997253453,840,365,4,16,42,20,55,19,21,2,2,22,94,56537656004076,21,47,12,31,16,19,23
翟逸,青岛,99.8277186254119,119.8635490198636,-20.035830394451693,14.2658720728971,924,621,16,10,31,41,80,25,29,5,29,64,193,56537656004076,76,124,4,20,29,72,26
林韦翰,青岛,98.4905680046104,120.05382709959808,-21.563259094987686,10.954623259554433,448,391,1,11,32,39,32,17,20,0,0,12,87,56537656004076,18,35,15,40,6,9,23
杨金蒙,青岛,97.54744600499026,122.06549709424219,-24.518051089251927,18.235372818189457,196,214,8,8,7,9,37,5,10,0,0,14,77,56537656004076,24,47,6,27,11,14,19
邵英伦,青岛,73.97787473736399,120.53738107839837,-46.55950634103438,5.592258518975082,231,100,2,1,11,4,25,3,3,2,0,3,8,42403242003830,2,6,1,3,1,2,10
王睿泽,青岛,,122.46953481641299,,0.0,56,1,0,0,0,0,1,0,0,0,0,0,0,56537656004076,0,0,0,0,0,0,1
丁皓然,青岛,,,,,980,0,0,0,0,0,0,0,0,0,0,0,0,56537656004076,0,0,0,0,0,0,0
史文龙,青岛,,,,,728,0,0,0,0,0,0,0,0,0,0,0,0,56537656004076,0,0,0,0,0,0,0
周湛东,青岛,,,,,672,0,0,0,0,0,0,0,0,0,0,0,0,56537656004076,0,0,0,0,0,0,0
张昊,青岛,,,,,1375,0,0,0,0,0,0,0,0,0,0,0,0,50480050004033,0,0,0,0,0,0,0
杨凯,青岛,,,,,252,0,0,0,0,0,0,0,0,0,0,0,0,56537656004076,0,0,0,0,0,0,0
韩德君,辽宁,126.30772871589164,120.83697552560133,5.47075319029031,19.758474631405324,1595,803,24,71,206,45,91,11,46,23,17,111,420,58556858004219,153,246,0,1,114,150,27
巴斯,辽宁,122.06363382603556,118.8572683898254,3.206365436210149,26.424867507488845,870,901,3,61,176,51,52,32,57,20,74,136,617,58556858004219,233,396,1,3,148,188,29
贺天举,辽宁,121.12958028891963,122.24085543073674,-1.1112751418171172,16.007944787847112,174,380,12,10,45,13,40,5,9,2,1,22,154,58556858004219,19,37,30,78,26,31,26
史蒂芬森,辽宁,113.67793483402635,120.27467700466738,-6.596742170641036,31.356724380642103,29,972,26,30,179,110,92,30,78,5,14,173,744,58556858004219,227,375,43,146,161,206,28
刘志轩,辽宁,112.28250248934334,120.09874677543824,-7.8162442860949,7.749897129584282,319,435,1,11,28,45,26,15,12,1,0,9,79,58556858004219,4,10,21,49,8,12,20
李晓旭,辽宁,109.5712156607735,119.24799381075087,-9.676778149977366,12.80196476452977,638,695,18,85,87,19,67,21,15,17,7,27,171,58556858004219,57,122,16,52,9,28,29
郭艾伦,辽宁,108.97781354284355,118.84262989895448,-9.864816356110936,24.639103343335172,377,706,21,11,61,105,72,32,49,1,3,97,406,58556858004219,112,191,32,103,86,115,21
赵继伟,辽宁,102.22113030528124,115.4094484324456,-13.188318127164365,17.208059401922114,87,914,27,18,73,135,89,68,58,4,0,59,342,58556858004219,54,111,66,164,36,52,28
郭旭,辽宁,97.73170952784096,122.80628268987385,-25.07457316203289,13.912550683351826,435,223,1,4,14,8,18,2,10,1,0,7,64,58556858004219,9,16,14,42,4,5,23
高诗岩,辽宁,90.59807672601809,116.37372490643672,-25.775648180418628,14.855467798362726,0,719,10,19,46,70,93,47,37,3,0,34,194,58556858004219,38,86,34,109,16,22,29
鄢手骐,辽宁,66.27598110102814,113.62827058716364,-47.352289486135504,15.588831071307089,1044,11,0,0,0,2,2,1,1,0,0,1,2,58556858004219,0,1,0,1,2,2,2
王化东,辽宁,49.22248727711403,116.01852990708785,-66.79604262997383,10.500765177311393,928,50,2,4,3,1,8,3,1,1,0,2,2,58556858004219,0,2,0,8,2,2,9
马壮,辽宁,42.256879988656806,123.56268713985554,-81.30580715119874,57.15904726145932,232,6,0,0,1,0,2,0,3,0,0,2,3,58556858004219,0,0,0,3,3,4,3
丛明晨,辽宁,,124.06564873046122,,7.365856605858159,290,12,0,1,2,0,1,0,0,0,0,0,6,58556858004219,0,0,2,2,0,0,1
刘雁宇,辽宁,,,,,493,0,0,0,0,0,0,0,0,0,0,0,0,58556858004219,0,0,0,0,0,0,0
卢梓杰,辽宁,,,,,812,0,0,0,0,0,0,0,0,0,0,0,0,58556858004219,0,0,0,0,0,0,0
孙锴祺,辽宁,,,,,522,0,0,0,0,0,0,0,0,0,0,0,0,58556858004219,0,0,0,0,0,0,0
泰-劳森,福建,121.4243802484695,123.46466280870851,-2.0402825602390067,29.43323050365641,18,638,6,19,72,133,49,35,47,3,0,157,497,36345636001634,124,228,34,79,147,179,18
普-杰特,福建,125.27533001371994,128.8978306245244,-3.6225006108044653,24.625670987136825,22,426,11,5,58,100,28,18,28,0,0,73,276,22211222002607,39,73,47,101,57,63,11
刘洺宇,福建,122.79749819441841,126.76250774965375,-3.9650095552353406,13.254613005580744,174,276,0,5,16,20,46,10,6,1,0,17,97,58556858004241,16,31,19,40,8,13,14
康宁汉姆,福建,118.0852363021912,123.4616200783654,-5.376383776174194,21.54417301490755,462,407,0,32,78,22,45,15,20,21,6,26,208,28268828003103,76,136,12,27,20,23,14
埃里克-格林,福建,121.54987388059205,127.71451730442912,-6.164643423837077,24.07675796246168,88,132,4,5,18,14,5,5,4,0,0,9,85,8076808000078,21,35,11,29,10,12,4
孙喆,福建,120.29181594904435,127.68712952732079,-7.395313578276443,12.03247586611139,493,212,1,19,34,7,47,4,13,5,2,18,63,58556858004241,24,35,0,0,15,22,27
王哲林,福建,118.17189485248916,126.84746071420818,-8.675565861719022,28.558102145067473,899,988,27,87,202,57,75,26,61,31,46,176,698,58556858004241,256,417,14,61,144,225,27
陈林坚,福建,116.49416596791188,127.87919883526286,-11.385032867350972,20.010878309155476,435,1064,28,26,79,48,68,31,52,2,2,59,537,58556858004241,98,183,93,213,62,76,28
李江淮,福建,113.2698218540241,125.52278457214999,-12.252962718125886,10.94425492910055,145,241,4,11,14,23,28,12,9,0,0,8,61,58556858004241,13,23,10,25,5,6,16
阿玛尔-斯塔德迈尔,福建,108.60881810674627,127.42795852926714,-18.819140422520874,29.957024595000984,352,307,8,26,65,10,36,8,28,13,11,66,213,22211222001060,79,152,2,6,49,62,11
黄毅超,福建,107.38972765484806,127.27700690307744,-19.887279248229376,15.279071879081657,406,452,14,22,26,22,45,14,19,4,0,11,151,58556858004241,26,58,29,73,12,14,21
何重达,福建,100.43541103332723,126.48277110846496,-26.047360075137732,13.105407087836216,319,333,14,15,35,20,55,9,14,11,0,27,88,58556858004241,14,34,17,41,9,22,16
胡珑贸,福建,96.82440503586245,123.47544130701858,-26.65103627115613,12.209156365366432,290,397,2,8,42,17,66,25,22,4,0,32,100,58556858004241,16,31,19,50,11,15,24
孙椿棚,福建,92.89724818394741,126.27679336632227,-33.379545182374855,8.121276423060683,377,286,6,23,32,12,39,11,13,3,0,23,35,58556858004241,15,36,0,0,5,8,23
谢亚财,福建,77.18291281422944,126.68230939663428,-49.49939658240484,10.957438803622008,551,103,9,3,12,14,15,4,9,0,0,11,16,58556858004241,5,11,0,2,6,8,12
卡米然斯地克江,福建,78.75604841719367,128.7587680864052,-50.002719669211544,13.644542244285697,87,387,8,11,18,20,31,8,27,1,0,17,83,58556858004241,12,33,18,55,5,10,18
汤杰,福建,70.60658203083446,128.45999435907035,-57.85341232823589,16.628514497910384,203,80,2,0,5,7,4,2,8,0,0,8,20,58556858004241,7,16,1,3,3,7,7
徐铭智,福建,18.67573107331934,125.70357691660627,-107.02784584328693,18.70076098549192,0,21,0,0,1,2,3,1,4,0,0,2,1,58556858004241,0,2,0,2,1,2,5
刁成灏,福建,,128.03155594608756,,19.12422598954616,696,37,1,2,0,3,5,1,0,0,0,0,6,58556858004241,0,2,2,14,0,0,4
曹飞,福建,,130.9966529223869,,11.733102934912889,841,49,0,0,7,4,8,0,6,0,0,1,4,58556858004241,2,6,0,1,0,0,7
王润锋,福建,,,,,464,0,0,0,0,0,0,0,0,0,0,0,0,58556858004241,0,0,0,0,0,0,0
穆罕默德,深圳,130.0588769698932,124.46476627293904,5.5941106969541465,29.52639103031824,180,299,1,21,72,15,24,8,13,5,16,72,235,24230424000734,65,108,13,31,66,87,10
赵义明,深圳,118.90938482005271,117.6653920761128,1.2439927439399128,18.841207981040714,145,37,0,8,7,2,8,2,1,1,2,7,14,58556858004251,5,11,0,1,4,5,8
沈梓捷,深圳,109.9952593708036,118.94109493200494,-8.94583556120135,19.993677809322644,319,788,12,58,124,40,79,29,51,39,58,115,353,58556858004251,136,232,0,2,81,133,28
李慕豪,深圳,109.15414266440644,120.5136804818005,-11.35953781739407,19.708027314815585,261,657,20,46,103,19,77,16,43,30,37,72,290,58556858004251,107,180,8,25,52,78,25
贺希宁,深圳,109.77561689009701,121.17368934967052,-11.398072459573513,16.74333036254816,0,797,24,21,57,34,47,30,25,2,1,49,303,58556858004251,79,138,33,102,46,59,29
德怀特-拜克斯,深圳,105.2191421619985,116.7193465094018,-11.500204347403297,25.75379933767242,216,931,24,30,107,162,64,63,80,5,1,119,526,54518454004226,157,298,38,93,98,120,25
杨林祎,深圳,100.24124819057727,115.86745513274623,-15.626206942168963,21.77017823369323,174,383,2,12,29,25,37,32,27,0,0,32,172,58556858004251,18,50,34,85,34,45,24
皮埃尔-杰克逊,深圳,111.41792360882872,130.2052394246788,-18.787315815850093,27.789855072463766,110,72,2,1,6,12,4,4,6,0,0,16,46,4038404000025,3,10,8,19,16,17,2
顾全,深圳,100.0510319471658,122.8601766579293,-22.809144710763505,17.965605028422267,348,855,16,21,86,56,82,19,56,2,0,84,320,58556858004251,49,108,52,130,66,93,27
白昊天,深圳,98.2803660389066,122.46547507821947,-24.185109039312863,13.812997058546259,290,102,1,0,12,13,22,2,2,1,0,11,28,58556858004251,10,19,0,4,8,13,10
贾雷尔-马丁,深圳,91.5485699743565,117.08349003174854,-25.534920057392043,24.791556656429123,14,404,2,19,79,24,40,19,24,10,11,39,184,28268828002683,55,118,16,64,26,31,14
卢艺文,深圳,94.54591337169427,121.03731101655032,-26.49139764485605,14.966668013413601,667,695,25,13,55,30,66,23,25,10,3,37,201,58556858004251,42,86,30,96,27,45,28
容子峰,深圳,87.75125653331031,117.9223246106964,-30.171068077386096,15.291968115423971,725,295,6,6,17,27,45,19,23,0,0,22,81,58556858004251,18,31,10,36,15,19,23
阿列里克·弗里曼,深圳,89.75948465795608,120.37096396801398,-30.611479310057902,30.999833287569135,168,104,0,3,17,13,13,2,15,0,0,13,62,6057606000834,13,32,11,22,3,6,3
孟铎,深圳,76.95760371269516,123.25104006142429,-46.29343634872913,14.48652951210145,87,116,0,3,5,9,23,2,9,0,0,6,25,58556858004251,4,13,4,12,5,6,16
何忠勉,深圳,71.39049304872583,118.26245796409732,-46.87196491537149,13.138180881286493,580,229,10,2,30,8,53,12,15,4,0,17,43,58556858004251,8,22,5,22,12,15,24
韩驭丰,深圳,55.94267055028187,123.35691610452766,-67.41424555424578,15.066636751692245,406,47,0,4,3,3,0,1,2,0,0,3,5,58556858004251,1,7,1,6,0,1,8
于德豪,深圳,,,,,551,0,0,0,0,0,0,0,0,0,0,0,0,58556858004251,0,0,0,0,0,0,0
卢鹏羽,深圳,,,,,58,0,0,0,0,0,0,0,0,0,0,0,0,58556858004251,0,0,0,0,0,0,0
李想,深圳,,,,,464,0,0,0,0,0,0,0,0,0,0,0,0,58556858004251,0,0,0,0,0,0,0
陈柏石,深圳,,,,,986,0,0,0,0,0,0,0,0,0,0,0,0,58556858004251,0,0,0,0,0,0,0
赖俊豪,浙江,129.32375465363756,119.55349222432359,9.770262429313973,11.233764516643282,408,441,0,35,54,16,87,20,13,20,12,32,126,48460848004066,37,61,8,22,28,34,23
付磊,浙江,132.05896173788076,125.16516386713609,6.893797870744677,12.491426870134115,87,116,0,4,5,5,12,2,3,0,1,4,42,58556858004220,11,15,5,10,5,10,12
朱旭航,浙江,119.9486704864704,120.58724749791094,-0.6385770114405318,18.02302412660337,609,894,29,53,100,28,121,45,34,13,6,102,394,58556858004220,57,107,72,181,64,87,29
张大宇,浙江,119.45460349825845,120.82614697830078,-1.3715434800423338,13.35076767751684,696,868,28,59,115,43,99,32,37,35,9,63,283,58556858004220,111,183,8,18,37,48,29
邓蒙,浙江,119.76550988511762,121.31880420430429,-1.5532943191866622,31.184393684206338,348,1062,18,30,116,189,58,54,74,4,0,198,833,58556858004220,140,286,124,289,181,208,29
兰兹博格,浙江,121.49350690239922,123.24169500635152,-1.7481881039523017,32.301914345454875,29,949,11,53,176,79,53,30,52,8,16,203,764,58556858004220,173,334,69,189,211,251,29
刘泽一,浙江,116.05150240275609,122.4031765452586,-6.351674142502517,15.169573426065279,290,273,1,23,29,4,47,10,14,2,2,13,98,58556858004220,44,72,0,0,10,15,22
陆文博,浙江,104.19175340588444,115.70179345690742,-11.510040051022983,9.794203957064415,232,40,0,3,2,1,6,4,0,0,0,5,7,58556858004220,3,4,0,3,1,4,8
吴前,浙江,108.6491207981476,120.42014859536624,-11.771027797218636,21.68255168982935,957,945,29,25,84,115,85,55,56,3,0,99,459,58556858004220,61,142,81,210,94,114,29
程帅澎,浙江,106.52558271939353,120.76861025108164,-14.243027531688114,10.963375075226702,174,770,26,18,34,54,113,42,21,1,0,62,180,58556858004220,34,70,24,74,40,54,28
王奕博,浙江,101.01644719908671,118.6507017734002,-17.634254574313488,9.334138949089827,435,202,3,5,9,23,27,15,8,0,0,16,37,58556858004220,8,18,3,10,12,14,23
张正昕,浙江,90.2765770771808,125.98891342050828,-35.71233634332748,12.493299928594176,812,247,0,24,28,3,65,1,15,1,0,15,47,58556858004220,17,43,0,0,13,25,27
王仔路,浙江,61.85574775455862,118.43672318744626,-56.58097543288764,17.186176545664235,667,28,0,1,1,2,9,2,5,0,0,2,6,58556858004220,2,4,0,0,2,4,10
林孝天,浙江,,126.45668361250682,,19.876618888004906,145,9,0,3,0,2,3,0,2,0,0,0,0,58556858004220,0,0,0,2,0,0,3
鞠鹏,浙江,,110.28160435110418,,12.77782642800315,203,14,0,0,3,0,5,2,1,0,0,0,2,58556858004220,1,1,0,2,0,0,2
刘育辰,浙江,,,,,870,0,0,0,0,0,0,0,0,0,0,0,0,58556858004220,0,0,0,0,0,0,0
孙岩松,浙江,,,,,261,0,0,0,0,0,0,0,0,0,0,0,0,58556858004220,0,0,0,0,0,0,0
李耀强,浙江,,,,,319,0,0,0,0,0,0,0,0,0,0,0,0,58556858004220,0,0,0,0,0,0,0
白杰,浙江,,,,,464,0,0,0,0,0,0,0,0,0,0,0,0,58556858004220,0,0,0,0,0,0,0
蒋浩然,江苏,156.76006471108025,127.3265956320914,29.43346907898885,15.037410823038106,522,14,0,3,1,0,2,0,0,0,0,5,6,58556858004196,1,2,0,0,4,6,3
拉杜利察,江苏,117.76241751082873,121.76935418394942,-4.006936673120691,32.04850327899267,377,906,15,75,202,75,108,36,80,25,30,225,723,58556858004196,225,383,29,74,186,234,29
布莱克尼,江苏,105.34073067038754,111.86975114386206,-6.529020473474517,43.25233365529777,14,147,0,2,24,13,8,6,17,4,5,25,145,14134414000238,39,73,13,28,28,39,4
吴冠希,江苏,113.56410913866586,122.5332337537377,-8.969124615071848,19.000041120811527,319,859,21,64,158,37,107,19,47,48,45,100,385,58556858004196,155,261,0,2,75,113,29
